school.x,year,entity1,entity2,entity3,entity4,increment1,increment2,increment3,increment4,ltss1,ltss2r,ltss3,dircheck1,ltss4r,lti1r,dircheck2,lti2,lti3r,ladder,income,gender,anagramwords,correctwords,totalwords,collegetype
peirce college,2,1,1,1,1,NA,NA,NA,NA,6,2,6,NA,2,4,NA,4,5,6,3,1,"cake, lake, car, real, gear, leak, grace, care, rake, acre, ear, ",11,12,private
University of the Pacific,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,private
baruch,3,NA,NA,NA,NA,5,5,5,5,6,3,6,NA,2,3,NA,6,2,5,4,2,"creak, leg, rag, rage, cage, reak, gear, rake, lace, car, care, gel, eal, ear, keg, reg, leak, r",15,18,public
Rensselaer Polytechnic Institute,4,5,5,4,5,NA,NA,NA,NA,2,6,2,NA,6,6,NA,2,6,10,5,1,"CARE, CAR, EAR, RACK, GRACE, GEAR, LACK, CARL, EARL, RAKE, CAKE, LAKE, LAG, RAG, RAGE, CAGE, GEL, ALE, ",18,19,private
New Mexico Highlands University,4,NA,NA,NA,NA,4,4,3,4,5,3,5,NA,3,3,NA,6,3,7,2,2,"Creak, lake, rake, gear, lear, cake, care, lace, race, grace, glare, real, rale, kale, ace, rack, lark, gale, ale, keg",20,20,public
Mansfield University,3,NA,NA,NA,NA,3,4,3,2,3,4,4,NA,5,4,NA,3,4,6,1,1,"GAL, CAR, CARE, RACE, RAKE, LAKE, RAG, CAKE, KEG, EAR, GEAR, CLEAR, KALE, GALE, ",14,15,public
City University of New York,4,NA,NA,NA,NA,6,6,5,4,5,3,6,NA,3,2,NA,5,2,6,3,1,"Car, rake, clear, real, ear, lake, lace, leg, keg, age, ",10,11,public
University of Alaska Anchorage,2,NA,NA,NA,NA,6,6,6,6,7,4,4,NA,4,3,NA,4,4,3,6,2,"LAKE, LARGE, LARK, EAR, ACRE, KEG, LEG, LEAR, CARE, CAR, GEAR, RACE, LACE, CREAK, LEAK, ",15,16,public
Point Park University,4,NA,NA,NA,NA,2,1,1,1,5,5,5,NA,3,3,NA,5,3,7,3,1,"keg, leg, gale, rake, real, kale, care, car, leak, race, grace, lace, ace, are, arc, glare, ",16,17,private
"California State University, San Bernardino",4,NA,NA,NA,NA,4,4,4,4,5,2,6,NA,2,4,NA,4,4,8,3,2,"cake, lake, lark, car, rake, cage, real, kale, rage",9,9,public
asu,3,5,4,4,5,NA,NA,NA,NA,5,4,6,5,5,4,NA,6,5,6,6,2,"car, are, age, ale, leg, lag, care, cake, rake, lake, ",10,11,public
university of maine,1,NA,NA,NA,NA,3,3,4,5,4,3,6,NA,2,3,NA,4,2,6,2,2,"rag, keg, care, age, rage, cage, gear, rake, rack, lack, ale, kale, crag, leg, ",14,15,public
Mankato State University,2,NA,NA,NA,NA,5,6,5,6,5,2,6,NA,5,2,NA,6,2,8,1,1,"rake, lake, rack, rage, cage, rag, keg, large, cake, gal, lag, leak, real, are, age, ",15,16,public
University of Wisconsin Parkside,3,NA,NA,NA,NA,5,4,4,4,6,2,5,NA,2,3,NA,5,3,8,2,2,"RAKE, GEAR, LEAK, ARE, ARC, KALE, LAKE, RACK, REAK, ALE, RALE, RECK",11,12,public
Lewis University ,5,5,6,5,5,NA,NA,NA,NA,5,4,5,6,6,5,4,5,5,5,4,1,"CRAG, LECRE",1,2,private
University of Tennessee College of Pharmacy,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,community
montgomery college,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,community
University of Montana,6,NA,NA,NA,NA,4,4,3,4,5,4,3,NA,3,5,NA,3,5,8,3,1,"race, cake, rake, real, rack, lack, rag, are, care, kale, lag, leg",12,12,public
The Ohio State University ,4,4,3,3,3,NA,NA,NA,NA,2,4,4,NA,3,6,NA,3,5,7,1,1,"cake, rake, lake, lear, gear, real, care, are, car, lark, creak, real, kale, are, gale, leg, gel, crag",16,18,public
Middlesex county college,2,5,4,4,4,NA,NA,NA,NA,5,4,5,NA,5,5,NA,5,4,4,5,2,"Clear, ear, car, rake, cake, lake, real, Grace, lace, race, lag, rag, Lear, care, rage, cage, ",16,17,community
The University of Texas at Austin,4,NA,NA,NA,NA,6,3,6,5,7,1,7,NA,1,2,NA,6,2,6,3,1,"RAG, CAR, EAR, KEG, LAG, ERA, ARE, ACE, GEL, ",9,10,public
NJIT,3,NA,NA,NA,NA,6,6,6,4,1,2,6,NA,1,1,NA,6,1,9,1,1,"cake, cage, lake, rake, ear, car, era, kale, grace, race, earl, gale, ace, Carl",14,14,public
Purdue University,4,NA,NA,NA,NA,5,5,5,5,6,1,5,NA,1,5,NA,3,6,6,2,1,"ace, agree, age, arc, are, area, areal, cackle, cage, cager, cake, call, caller, car, career, cell, cellar, cereal, crack, cracker",8,20,public
LSU BATON ROUGE La,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,public
Chamberlain  ,2,NA,NA,NA,NA,2,1,2,1,5,3,5,NA,3,3,NA,5,2,7,3,2,"Cage, large, cake, lake, leak, ear, care, car, rack, rake, rag, real, lag, gear, rage, ",15,16,community
